,residentian_area,rooms_area,address,telephone,price
0,北京城建·天坛府,北京城建·天坛府价格待定,[东城] 景泰路与安乐林路交汇处,400-890-0000 转 702416,价格待定
1,紫阙·天禄,3居/ 4居 － 266~418平米,[东城] 安定门外大街与和平里北街交叉口,,115000元/㎡
2,长安太和1号楼,1居/ 2居/ 3居/ 4居 － 153~323平米,"[东城] 长安街与朝阳门南小街交汇,处建国门大街...",400-890-0000 转 809051,145000元/㎡
