,residentian_area,rooms_area,address,telephone,price
0,西单上国阙,2居/ 3居/ 4居/ 5居/ 5居以上 － 161~482平米,[西城] 西单时代广场中组部南200米路东,17810321843,187000元/㎡
1,天安国汇,天安国汇户型为140-400平2-4居在售,[西城] 宣内大街西绒线胡同28号(美爵酒店东侧),17810321856,150000元/㎡
2,中骏天宸,中骏天宸在售价格为：500万元/套起,[西城] 德胜门北800米,17810321681,500万元/套起
3,玺源台,1居 － 63平米,"[西城] 广安门外大街305号,莲花池东路,会城门桥...",17810321795,108000元/㎡
